creator_id,creator_size,subscribers
CH_000ArmGamer000,small,317
CH_10_DEGREE_INDIAN_FAC,small,42998
CH_1in_am_LIVE,small,8398
CH_1ë_ë_ë_ì_,small,27511
CH_24_SOAT_TV,small,9227
CH_385idÃ_al,small,19643
CH_47ì_êµ_ë_ì_í_,small,5452
CH_4KEUS_GVNG_OFFICIEL,medium,272913
CH_5_Minute_Crafts,medium,1142995
CH_911_BTS,small,3004
CH_ABN_Telugu,small,31094
CH_ABP_Sanjha,small,30328
CH_AFD_Television,small,1334
CH_AFRICAFILMStv,small,2749
CH_AFTER_FOOT,small,1448
CH_AF_FOOTBALL,small,9221
CH_AKHERLAHZA,small,8311
CH_ATV_Cinema,small,2666
CH_Abdelmonaim_BOUSSENN,small,1499
CH_About_Fashion,small,10826
CH_AcademeG,medium,416113
CH_Acunn_com,medium,377112
CH_Acustik_Media,small,618
CH_Adam_Whitley,small,108
CH_Adda247_Official_Cha,small,4014
CH_Addis_Neger,small,10037
CH_AdÄ_Zehra,small,822
CH_AdÄ_nÄ_Sen_Koy,small,24708
CH_AidenCook,small,7770
CH_Alan_Walker,medium,467872
CH_Aldo_MuÃ_iz_Estudio,small,195
CH_Alex_Boyko,small,39885
CH_Aliotop,small,23464
CH_Alis_Channel,small,978
CH_Amaravathi_Media,small,8396
CH_America_Hoy,small,24789
CH_Americas_Disinformat,small,2681
CH_AmiG_Show,small,20689
CH_Amir,small,2810
CH_Amo_la_Musica,small,872
CH_Anatomy_of_a_Fighter,medium,250091
CH_AniDuckStudio,small,6192
CH_Ankur_Narula_Ministr,small,3527
CH_Anton_Lewise,small,5936
CH_Arazhul,small,33589
CH_Ariann_Music,small,12012
CH_AshStudio7,medium,253850
CH_AxoSkill,small,8860
CH_Azuul_Smith,small,2061
CH_BDODarts,small,7799
CH_BEAUTY_NEWS,small,9478
CH_BEST_OF_CULTES,small,8526
CH_BLACKPINK,medium,661661
CH_BNADEM,small,6748
CH_BRICO_SYMPA,small,555
CH_BRIG_man,small,6618
CH_BTS_BEING_BTS,small,13158
CH_BULLSEYE,small,8820
CH_BagaBoom,small,7211
CH_Bahtiyar_Ã_lmez,small,34096
CH_Bar_,small,1577
CH_BerlinKÃ_lnInfo,small,1299
CH_Berlin_Tag_Nacht,small,46714
CH_Berlin_Tag_Nacht_KÃ_,small,383
CH_Bessy_Dressy,small,2277
CH_Big_Soto_Eleuce,small,13258
CH_Binging_with_Babish,medium,579501
CH_Black_Pigeon_Speaks,small,10348
CH_Blossom,medium,2007272
CH_BobCat_Ð_Ð_,small,15962
CH_Bocholter_Landschwei,small,473
CH_Botschaft_des_Islam,small,2625
CH_Broilers,small,23380
CH_BuzzFeedBlue,medium,1916604
CH_CABALLERO,small,2903
CH_CLIQUE,small,3922
CH_CLNEWS,small,270
CH_CNBC,small,17699
CH_CNET,small,9325
CH_CNEWS,small,1083
CH_CNN,medium,311351
CH_Campechaneando,small,8490
CH_CanalOficial_Mhonivi,small,5999
CH_Canal_666_AntÃ_tesis,small,262
CH_Canal_MormÃ³n,small,17651
CH_Carli_Bybel,medium,268688
CH_Carolina_Ross,small,2521
CH_CaseyNeistat,medium,719523
CH_Channel_FNews,small,2946
CH_Charlie_Puth,medium,854646
CH_Chiivas_,small,6741
CH_Chocolate_Cacao_ã_ã_,small,14144
CH_Chris_Smoove,small,36746
CH_Chris_Tyson,small,12090
CH_Cine_Hd,small,6253
CH_Cinerds,small,318
CH_Clash_Royale,large,29178628
CH_Clau_Reads_Books,small,2685
CH_Claudipia,small,12371
CH_Clevver_Style,medium,311117
CH_Clixoom_Science_Fict,small,3400
CH_ClusterVisionMach2,small,479
CH_Coach_SÃ_an_Garnier,small,4048
CH_CollegeHumor,small,29600
CH_Comment_Awards,small,34135
CH_ConCrafter_LUCA,medium,250417
CH_Conor_Maynard,medium,1383466
CH_Cow_Chop,small,11467
CH_CrazyRussianHacker,small,39645
CH_Crown_Records,medium,771417
CH_Crusher_Mx,small,6748
CH_Cruz_Azul_Maquina_Ce,small,358
CH_CuÃ_ntamelo_YA_,small,5919
CH_DAHIYA_FILMS,medium,256408
CH_DAKARBUZZ_TV,small,1783
CH_DEREK_WWE_EN_ESPAÃ_O,small,370
CH_Daddy_Yankee,large,334912050
CH_Damla_Official,small,8193
CH_DaniFut,small,4111
CH_DeGoBooM,small,5913
CH_DekoideenReich,small,2974
CH_Dennis_Stefania,small,2061
CH_Der_Doktorant,small,3242
CH_Desi_Perkins,medium,339315
CH_Destroying_the_Illus,small,8191
CH_Desus_Mero,small,1359
CH_Diana_Suvorova,small,9306
CH_Die_drei_Fragezeiche,small,895
CH_Dilan_Video,small,566
CH_Dinge_ErklÃ_rt_â_Kur,small,6560
CH_Diplo,medium,614490
CH_DisneyMusicLAVEVO,small,468
CH_DogmasFour,small,13270
CH_Domino_s_Ligue_2,small,1131
CH_DramaAlert,medium,919240
CH_Dream_Perfect_Regime,small,30028
CH_DunkCity,small,21883
CH_DylanJT_123,small,1636
CH_EL_ALBOROTO_DE_LOS_F,small,893
CH_EMS_Nordschleife_TV,small,2195
CH_ETV_Andhra_Pradesh,small,6729
CH_Edd00chan_MrDsaster_,small,20556
CH_El3araf_Ø_Ù_Ø¹Ø_Ø_Ù_,small,15610
CH_ElChismosogro_Futbol,small,2200
CH_El_Nopal_Times,small,5629
CH_El_hombre_EscÃ_ndalo,small,247
CH_El_otro_enfoque_digi,small,10704
CH_Elhiwar_Ettounsi,small,11125
CH_Elif_Dizisi,small,5278
CH_Elli_Schramm,small,601
CH_Elven_King_Life,small,5100
CH_EminemVEVO,large,29249882
CH_Emm_Pee,small,10367
CH_EnamorÃ_ndonos,small,5335
CH_Entertainment_Circle,small,16706
CH_Equidia,small,662
CH_Erichsen,small,335
CH_EsChouw,medium,271489
CH_Esporte_Interativo,medium,256067
CH_EvRosTV,small,18727
CH_EverythingApplePro,small,34071
CH_EvgeniNEWS,small,1742
CH_ExileShow,small,26489
CH_Exopolitik,small,630
CH_FANNY_J_MUSIC_TV_OFF,small,5037
CH_FOOTBALL_MINDS,medium,660414
CH_FOX_Sports_MX,small,618
CH_FROMSOFTWARE,medium,283437
CH_FaZe_Rug,medium,986962
CH_Faktastisch,small,6829
CH_FeelFIFA,small,19633
CH_FifaGoalsUnited,small,5809
CH_FiftyShadesVEVO,large,14570370
CH_Film,small,2186
CH_FilmiBeat,small,10849
CH_Fleur_DeForce,small,10821
CH_Flomd_group,small,9067
CH_FlorenceMachineVEVO,small,38924
CH_Florencia_Deffis,small,535
CH_Flowers_TV,small,24206
CH_Food_Wishes,small,11322
CH_Footballerei,small,393
CH_Forgotten_Weapons,small,24451
CH_Fred_l_Apiculteur_Ex,small,231
CH_Frederic_Delavier,small,1137
CH_FrediLeisVEVO,small,472
CH_FullTimeDEVILS,small,11461
CH_Fut_Anime,small,2841
CH_Futbulco_4K_Ù_Ø_Ø_Ù_,small,34635
CH_GMTV,medium,393863
CH_GOLAZO_TV,medium,1188799
CH_Gabriel_HD,small,5595
CH_GameGrumps,small,21507
CH_Game_Live_News,small,3633
CH_German_Truck_Driver,small,2777
CH_Global_News,small,1835
CH_Guillaume_Pley,small,3293
CH_GussDx,small,9649
CH_HINSTORES_channel,small,240
CH_HLC_MEDIA,small,401
CH_HSM2k2,small,2923
CH_HandOfBlood,small,29486
CH_Hassan_El_Fad_Ø_Ø³Ù_,medium,381943
CH_Havana_Express,small,15164
CH_Hayot_Uz,small,2383
CH_Heopop_í_í_,small,14426
CH_HervÃ_Cuisine,small,1111
CH_Hevesh5,medium,710733
CH_Hiba_TV,small,19969
CH_Hidmona_Tv,small,2210
CH_HisSable_Majesty,small,848
CH_HopeAnimation,medium,497464
CH_Houzairou,small,1598
CH_HowToBasic,medium,934445
CH_How_To_Cake_It,small,30468
CH_Hueva,small,6491
CH_ILYA_STREKAL,small,32097
CH_IMediaShows,medium,304588
CH_Ikram_Bellanova,small,31963
CH_ImagineDragonsVEVO,medium,353802
CH_Imke_Riedebusch,small,1057
CH_Indie_Arts_Kenel,small,7854
CH_Interesting_Facts_DE,small,9445
CH_Isa_Marcial,small,11656
CH_Islam_Badurgov,small,9525
CH_JERYKO,small,8387
CH_JR_S,small,725
CH_JV_BR_PB,small,6446
CH_JacoboWong,small,2458
CH_Jauja_Cocina_Mexican,small,4453
CH_JavierPozaenFormula,small,7285
CH_Jay_Colindres,small,1439
CH_Jo_Conrad,small,3909
CH_Joe_Santagato,medium,435962
CH_Julianna_La_Reina_de,small,1291
CH_KBSKpop,small,48380
CH_KG_TUBE_MEDIA_CHANNE,small,6975
CH_KID_METAL,small,9503
CH_KIKONUTINO,small,4929
CH_KINGS_DEL_WEPA,small,40775
CH_KOFSVEVO,small,15546
CH_KREOSAN,medium,535247
CH_KTV_BREAKING_NEWS,small,7704
CH_KairaliOnline,small,33736
CH_KanalD,small,8878
CH_KavkazTube_Channel,small,2022
CH_Keeping_up_with_Los_,small,691
CH_Kick11,small,25359
CH_KinoMan,small,726
CH_Kirill_Astashov,small,384
CH_KisabacLusamutner,small,3396
CH_Komissarov_DS,small,15191
CH_Kristoff_Raczynski,small,4174
CH_Kumapa,small,11560
CH_LALA_MÃ_xico,large,17881544
CH_La_Caravana_del_Mist,small,2150
CH_La_Gran_Carpa_Catedr,small,751
CH_La_Ruta_de_la_Garnac,small,5710
CH_LadyGagaVEVO,medium,1252293
CH_Ladylike,medium,459951
CH_Lartiste_Officiel,medium,633671
CH_Late_Night_with_Seth,medium,916180
CH_Le_MÃ_dia,small,741
CH_Leo_Kast,small,608
CH_Les_As_de_la_Jungle,small,2343
CH_Ligue_Clubiste_TV1,small,4579
CH_Lindsey_Stirling,small,29661
CH_Linus_Tech_Tips,small,27706
CH_Little_Blossom_JM,small,12432
CH_Liza_Koshy_Too,medium,1220264
CH_Lokdhun_Punjabi,medium,1543274
CH_Lonepsi,small,2278
CH_LuoKho_Animation,small,27584
CH_M0rf,small,1594
CH_M2,medium,269742
CH_MEVO_Films,small,4537
CH_MLG_Highlights,medium,401964
CH_MadisonBeerMusicVEVO,medium,526701
CH_Mahan,small,4083
CH_Mahendra_Guru_Online,small,6466
CH_Mali_24,small,1998
CH_Mana_Health_And_More,small,2954
CH_Manny_Mua,medium,1246890
CH_Manorama_News,small,13338
CH_Margarita_Muradova,small,3772
CH_Marie_S_Infiltre,small,4419
CH_MarkAngelComedy,small,38506
CH_Mark_Dice,small,36246
CH_Markey,small,5162
CH_MarÃ_a_LeÃ³n,small,780
CH_Maxildan,small,4255
CH_Mazhavil_Manorama,small,25637
CH_Me_Zemer_Te_Hapur,small,725
CH_Mezcladito_07,small,509
CH_Michael_Buchinger,small,1438
CH_Michelle_Danzinger,small,1658
CH_Miki,small,9120
CH_Military_Update,small,11246
CH_Mnet_K_POP,medium,522543
CH_MoreZoella,medium,560057
CH_Motion_Frames,small,1918
CH_Movieclips_Trailers,small,25459
CH_MrWissen2go,small,11059
CH_Mr_Ideas,small,2566
CH_MundoManitas,small,987
CH_Mundo_Desconocido,small,16822
CH_Murari_Ki_Kocktail,medium,264099
CH_Muse,small,18940
CH_NAVI_Dota_2,small,10689
CH_NDEKO_ELIEZER_TOKOKO,small,5672
CH_NEWS,small,5971
CH_NEWS_HD,small,450
CH_NFL,small,2884
CH_NIROM_à_à_à_¾à_à_,small,34200
CH_NPBã_ã_ã_,small,26818
CH_Nadia_Ustinova,small,754
CH_Natalie_Perez,small,471
CH_NativeHorses_on_tour,small,1727
CH_Nefis_Yemek_Tarifler,small,2647
CH_News7_Tamil,small,2217
CH_News_18_Tamilnadu,small,24604
CH_News_Studio,small,20822
CH_Nex_Noticias,small,962
CH_Next9news_à_à_à_à_ªà,small,44022
CH_Nickelodeon_Deutschl,small,4904
CH_NicsterV,small,3905
CH_NikkieTutorials,medium,682729
CH_Nollywoodpicturestv,small,5989
CH_Nova_BoX_Televizija,small,27022
CH_NyCyLa,small,1339
CH_Obama_Foundation,small,7364
CH_Okay_africa,small,37453
CH_Olympique_et_lyonnai,small,228
CH_Om_TV,small,11169
CH_On_the_bench,small,902
CH_One_Love_One_People_,small,2512
CH_One_Piece_Theoretike,small,3632
CH_Open_Road_Films,medium,1524374
CH_Operaciones_Especial,small,1409
CH_Oraciones_en_video,small,16605
CH_Oum_Walid,small,32040
CH_Ozuna,medium,838555
CH_PERIODISMO_LIBRE_Y_A,small,7698
CH_PI_WAN,small,6258
