user_id,video_id,rating,watch_pct
U048,V340,3,0.337
U156,V328,3,0.682
U011,V034,1,0.45
U182,V248,3,0.401
U133,V233,5,0.678
U166,V281,4,0.424
U130,V468,1,0.215
U103,V184,4,0.408
U110,V019,3,0.655
U062,V389,2,0.287
U077,V178,3,0.05
U092,V185,3,0.174
U011,V191,4,0.936
U165,V061,4,0.506
U197,V219,4,0.671
U156,V266,3,0.05
U153,V338,1,0.478
U148,V281,4,0.842
U179,V187,2,0.722
U074,V458,3,0.933
U155,V004,3,0.836
U162,V083,2,0.339
U016,V332,1,0.348
U118,V224,3,0.266
U064,V278,3,0.491
U100,V483,1,0.25
U119,V383,5,0.525
U047,V007,3,0.537
U130,V225,2,0.082
U080,V139,2,0.241
U181,V297,5,0.438
U168,V256,2,0.069
U166,V465,3,0.589
U107,V430,3,0.199
U059,V448,1,0.05
U097,V500,2,0.773
U031,V020,2,0.275
U158,V194,2,0.939
U041,V430,3,0.425
U131,V194,5,0.526
U028,V339,3,0.097
U149,V392,1,0.619
U172,V332,2,0.22
U155,V319,1,0.889
U019,V328,1,0.644
U010,V043,3,0.374
U145,V436,2,0.275
U097,V265,4,0.36
U110,V467,2,0.249
U122,V412,2,0.548
U091,V268,3,0.567
U139,V453,4,0.637
U084,V449,2,0.802
U055,V008,3,0.404
U142,V101,5,0.332
U084,V471,2,0.407
U013,V239,4,0.195
U100,V253,1,0.291
U170,V028,1,0.571
U172,V118,4,0.425
U064,V209,1,0.667
U002,V036,2,0.186
U172,V256,1,0.267
U014,V259,3,0.437
U096,V337,2,0.691
U043,V152,3,0.577
U099,V488,4,0.353
U156,V326,1,0.509
U058,V147,2,0.093
U030,V457,1,0.391
U075,V082,2,0.115
U182,V267,2,0.266
U104,V235,3,0.281
U147,V099,2,0.343
U164,V199,2,0.896
U198,V390,3,0.05
U167,V076,1,0.645
U130,V335,3,0.424
U115,V202,4,0.05
U189,V198,3,0.512
U126,V431,2,0.894
U021,V265,4,0.126
U085,V184,1,0.641
U056,V272,2,0.753
U061,V216,2,0.693
U186,V125,1,0.496
U173,V082,2,0.372
U190,V303,2,0.164
U151,V040,2,0.05
U120,V406,4,0.324
U192,V150,2,0.232
U173,V078,3,0.488
U096,V356,1,0.395
U102,V420,4,0.471
U015,V021,1,0.27
U047,V430,4,0.181
U134,V360,2,0.11
U058,V194,3,0.519
U098,V098,3,0.609
U199,V189,4,0.292
U143,V465,1,0.354
U097,V407,2,0.05
U088,V474,3,0.569
U161,V270,3,0.459
U079,V238,1,0.583
U062,V084,1,0.641
U190,V074,3,0.377
U162,V436,2,0.411
U101,V424,4,0.839
U189,V066,3,0.391
U055,V196,2,0.537
U195,V391,1,0.542
U068,V037,4,0.247
U180,V310,2,0.261
U122,V277,4,0.613
U055,V462,4,0.285
U010,V436,3,0.409
U062,V104,1,0.45
U085,V009,2,0.186
U156,V219,4,0.7
U190,V044,3,0.338
U185,V489,1,0.415
U152,V134,4,0.078
U164,V332,3,0.229
U116,V319,1,0.751
U014,V018,1,0.37
U037,V193,5,0.408
U067,V434,3,0.278
U082,V270,1,0.536
U160,V016,5,0.269
U104,V484,4,0.306
U022,V301,4,0.05
U175,V242,2,0.304
U196,V238,1,0.306
U194,V150,3,0.426
U039,V142,4,0.773
U096,V176,2,0.886
U104,V249,4,0.563
U157,V443,5,0.557
U077,V220,3,0.814
U198,V458,2,0.774
U115,V361,4,0.303
U164,V422,1,0.349
U104,V058,1,0.39
U017,V162,3,0.845
U109,V130,4,0.808
U020,V110,3,0.369
U127,V186,2,0.448
U187,V104,1,0.314
U007,V014,2,0.4
U050,V385,5,0.709
U009,V405,3,0.178
U150,V474,2,0.336
U177,V039,3,0.781
U163,V159,1,0.522
U035,V445,3,0.07
U150,V289,1,0.418
U111,V405,3,0.152
U104,V284,5,0.29
U160,V175,3,0.814
U133,V126,4,0.224
U053,V450,2,0.592
U197,V500,3,0.759
U145,V197,2,0.343
U200,V371,5,0.601
U145,V204,1,0.885
U194,V127,3,0.333
U106,V069,3,0.32
U113,V208,1,0.748
U036,V383,5,0.528
U107,V308,2,0.05
U031,V402,2,0.609
U168,V361,3,0.483
U085,V023,2,0.85
U103,V090,1,0.321
U090,V036,1,0.372
U084,V245,5,0.224
U102,V047,3,0.707
U056,V039,3,0.647
U015,V372,2,0.109
U027,V050,3,0.185
U007,V134,2,0.742
U093,V292,2,0.416
U068,V323,2,0.549
U122,V225,3,0.05
U050,V497,3,0.595
U072,V476,3,0.482
U116,V337,2,0.417
U157,V363,5,0.114
U076,V318,3,0.714
U068,V192,4,0.715
U112,V267,1,0.382
U108,V308,3,0.187
U122,V150,2,0.516
U099,V480,3,0.142
U175,V134,4,0.142
U186,V310,1,0.757
U083,V370,2,0.788
U111,V090,2,0.296
U008,V072,3,0.295
U125,V310,2,0.687
U139,V074,3,0.71
U056,V314,2,0.818
U134,V219,1,0.646
U139,V400,4,0.564
U070,V430,2,0.068
U078,V177,1,0.372
U163,V188,3,0.428
U200,V096,2,0.51
U149,V228,2,0.379
U192,V359,3,0.205
U120,V323,1,0.273
U010,V135,3,0.375
U130,V388,1,0.641
U135,V308,4,0.17
U082,V461,1,0.436
U161,V238,1,0.441
U113,V314,1,0.672
U152,V257,1,0.137
U027,V012,3,0.131
U012,V134,4,0.271
U006,V401,2,0.656
U060,V056,5,0.492
U071,V300,4,0.261
U045,V245,4,0.251
U074,V258,4,0.944
U042,V136,4,0.22
U139,V250,3,0.601
U127,V289,3,0.177
U035,V457,2,0.597
U094,V371,1,0.683
U164,V112,5,1.0
U032,V346,2,0.748
U150,V193,3,0.552
U145,V215,1,0.202
U163,V077,1,0.053
U093,V221,2,0.569
U111,V367,2,0.389
U028,V345,4,0.615
U144,V064,2,1.0
U167,V496,2,0.837
U159,V266,2,0.438
U023,V443,4,0.661
U088,V416,2,0.05
U005,V240,3,0.604
U182,V476,3,0.226
U193,V409,2,0.225
U117,V179,1,0.964
U048,V168,2,0.322
U017,V366,1,1.0
U002,V122,1,0.348
U184,V499,2,0.704
U156,V452,2,0.069
U146,V277,2,0.454
U178,V048,4,0.228
U084,V189,4,0.082
U045,V101,3,0.515
U179,V441,2,0.435
U053,V487,2,0.362
U163,V423,2,0.657
U198,V461,1,0.427
U160,V423,2,0.54
U042,V370,4,0.644
U168,V298,4,0.05
U082,V364,1,0.179
U052,V388,2,1.0
U065,V155,3,0.779
U155,V138,1,0.602
U197,V059,2,0.751
U157,V484,4,0.079
U050,V397,1,0.242
U017,V046,2,0.85
U041,V374,2,0.815
U053,V317,1,0.727
U100,V437,1,0.322
U005,V241,1,0.437
U081,V294,2,0.383
U057,V079,2,0.437
U146,V361,1,0.341
U152,V091,4,0.472
U147,V227,2,0.316
U132,V282,1,0.619
U131,V048,2,0.25
U170,V497,4,0.42
U008,V077,3,0.479
U049,V497,4,0.524
U174,V315,1,0.567
U055,V321,2,0.402
